DriverID,FirstName,LastName,ContactInformation,DepotID,LicenceType,LicenceExpiryDate,EmploymentStatus,EmergencyContactDetails
1,Mai,Van Nam,(387)810-1226,4,Standard Licence,2025-06-30,Active,Zachary Rice +1-401-984-5146
2,Ha,Minh Tuan,5484281489,6,Heavy Vehicle Licence,2028-11-21,Active,Christopher Ashley 309.957.0154x30391
3,Ly,Thi Thu,882-527-8248,4,Heavy Vehicle Licence,2028-08-01,On Leave,
4,Mai,Thi Hoa,+1-534-565-7871,7,Heavy Vehicle Licence,2029-03-04,Active,
5,Ly,Thi Huong,350-298-3930,7,Standard Licence,2027-06-13,Active,Taylor Heath 983-547-3829
6,Dinh,Thi Lan,863.711.6566x7010,3,Standard Licence,2027-05-07,Active,Ashley Lee +1-972-362-4731
7,Le,Quoc Tuan,5808132677,6,Standard Licence,2026-10-20,Active,Carmen Smith (247)746-8723x4309
8,Le,Van Nam,3094788208,1,Heavy Vehicle Licence,2025-06-26,Suspended,Barry Hensley (719)639-9091x6998
9,Nguyen,Van Nam,,5,Standard Licence,2027-07-12,Active,Mike Allen (524)675-1079x9118
10,Duong,Thi Mai,(651)235-4278,4,Heavy Vehicle Licence,2029-01-18,Active,Kristen Huynh 524-711-8244
11,Vo,Thi Hoa,248.274.0164,6,Standard Licence,2027-02-16,Active,Carlos Whitney (278)768-0112
12,Tran,Thi Dung,001-782-562-0450,7,Standard Licence,2027-06-01,Active,Mary Gomez +1-469-723-2260
13,Hoang,Van Nam,(534)221-6073x37543,5,Standard Licence,2028-01-02,Active,Jennifer Ramirez 645-486-8501
14,Truong,Thi Hoa,001-340-819-6556,5,Standard Licence,2027-07-22,Active,Cheryl Williams (608)883-5615x95148
15,Vo,Thi Lan,264-682-3662x99468,1,Heavy Vehicle Licence,2028-09-13,Active,
16,Dang,Duc Hung,336-699-5777x3872,3,Standard Licence,2027-12-22,Active,Mackenzie Rogers 001-534-833-2003x79176
17,Truong,Van Minh,563.320.1632x8708,8,Standard Licence,2025-07-12,On Leave,Robert Contreras +1-495-979-8687
18,Nguyen,Van Hai,643.748.7347x143,5,Standard Licence,2028-08-31,Terminated,Joshua Taylor 962.831.6658
19,Dang,Van Nam,2367690967,3,Heavy Vehicle Licence,2026-03-15,Active,James Snow (488)993-7346x70656
20,Dinh,Thi Dung,(898)406-9901,7,Standard Licence,2027-10-03,Active,Catherine Green 737-555-6464x17080
21,Le,Van Long,+1-510-903-3092x3271,1,Heavy Vehicle Licence,2029-04-21,On Leave,Pamela Jackson +1-312-541-9049x663
22,Ly,Huu Duc,749-319-0586,8,Standard Licence,2026-02-15,Active,
23,Bui,Thi Lan,,8,Heavy Vehicle Licence,2028-11-02,Terminated,
24,Ho,Van Minh,,3,Heavy Vehicle Licence,2025-11-05,Suspended,Gloria Atkinson 916.857.2628x4987
25,Phan,Thi Dung,001-794-253-1473x7996,5,Heavy Vehicle Licence,2026-02-03,Active,Frederick Freeman MD 954-594-8083x136
26,Vo,Minh Khoa,001-777-970-1436x349,2,Standard Licence,2026-06-12,Active,Hailey Barajas +1-555-774-4431
27,Ho,Van Minh,682-333-7498,7,Standard Licence,2029-02-07,Active,Elizabeth Ward 608-924-0084x2710
28,Ha,Van Long,275.420.4711x6719,3,Standard Licence,2028-01-31,Suspended,Justin Torres 818.969.9938
29,Duong,Thi Huong,649.364.9909x133,3,Standard Licence,2025-06-19,Active,Christopher Jones 6679974034
30,Bui,Quoc Bao,434-693-6183,6,Standard Licence,2028-02-26,Active,Andrea Martin 999-347-1746x4887
31,Le,Minh Khoa,+1-606-259-4013x990,1,Standard Licence,2026-03-29,Suspended,Casey Stone 342.496.7175x655
32,Duong,Duc Hung,267-946-8071x54516,7,Standard Licence,2027-04-19,On Leave,
33,Phan,Thi Huong,(903)985-9770x34824,7,Heavy Vehicle Licence,2026-08-12,Active,William Lynch 324.980.8613
34,Truong,Duc Hung,527-948-4677,5,Standard Licence,2028-01-09,Active,Janet Weeks 421.946.5840x44997
35,Hoang,Thi Thu,+1-575-558-8675,2,Standard Licence,2028-03-24,Active,Cynthia Rowe 7573662702
36,Ho,Thi Nhung,818.370.2621x745,8,Standard Licence,2027-07-05,Terminated,
37,Ho,Ngoc Anh,,8,Standard Licence,2026-10-15,Active,Sarah Villarreal (357)980-9134x3161
38,Ho,Van Long,(840)405-0455,4,Standard Licence,2028-11-21,Active,Jason Maldonado (422)519-6937
39,Mai,Van Minh,,3,Heavy Vehicle Licence,2028-09-20,Active,
40,Truong,Thi Huong,647.840.7482x175,7,Standard Licence,2026-01-18,Active,Joyce Turner (271)236-9594x4064
41,Dinh,Minh Tuan,+1-274-639-5339x421,2,Standard Licence,2027-10-11,Active,Amanda Diaz (714)656-2328
42,Ngo,Thi Yen,(547)845-1712,1,Heavy Vehicle Licence,2028-01-03,Active,Regina Diaz (904)281-7549x6513
43,Ha,Van Long,,1,Standard Licence,2026-08-05,Active,
44,Vo,Van Hai,+1-285-693-1746x120,4,Standard Licence,2025-06-18,Suspended,Audrey Young DDS (275)786-9261x7964
45,Ngo,Van Minh,277.835.1585,3,Standard Licence,2028-12-17,Active,Walter Rush 513.590.0532x931
